rank,item,count,last_seen
1,BodyJam 108,1,2025-11-02
2,BodyJam 109,1,2025-11-02
3,BodyJam 71,1,2025-11-09
4,BodyJam 74,1,2025-11-09
5,BodyJam 55,1,2025-11-12
6,BodyJam 97,1,2025-11-16
7,BodyJam 102,1,2025-11-16
8,BodyJam 73 Bonus,1,2025-12-17
9,BodyJam 80,1,2025-12-21
10,BodyJam 89,1,2025-12-26
11,BodyJam 68,1,2025-12-28
12,BodyJam 90,2,2025-11-13
13,BodyJam 95,2,2025-11-13
14,BodyJam 79,2,2025-12-11
15,BodyJam 105,2,2025-12-11
16,BodyJam 104,2,2025-12-18
17,BodyJam 82,2,2025-12-19
18,BodyJam UNKNOWN,2,2025-12-20
19,BodyJam 83,2,2025-12-24
20,BodyJam 99,2,2025-12-25
21,BodyJam 84,3,2025-12-11
22,BodyJam 112,3,2025-12-11
23,BodyJam 111,3,2025-12-17
24,BodyJam 114,3,2025-12-17
25,BodyJam 67,3,2025-12-27
26,BodyJam 39,4,2025-12-28
